,review,label
5159,"the last cut is the deepest!

did we need another x-men movie? in fact did we need another wolverine movie? well the result is there for all to see, with logan not only showing itself to be undoubtedly the best wolverine venture by far, but arguably the best x-men picture as well. if, as expected (and surely to god it's hoped so), this is the last we see of the grumpy metal clawed superhero, then what a fitting and triumphant bow out it is.

james mangold, the director, has managed to create an adult superhero movie without it really being a superhero pic, for he has created a film noir western that happens to be about a superhero. mangold's love of noir and westerns bursts from the screen, which for those who follow those wonderful stands of cinema, will come as no surprise having seen with notice his copland and 3:10 to yuma redux. there's a perpetual grimness to the narrative that belies the quite often stunning surrounding locales, heavy themes such as men out of time - with destinies written (cue a deft comic book movie within a comic book chunk of metaphysics) - surrogates, mental illness, human ignorance, and on it goes, the narrative strong on intelligence as much as it is in wrought emotion. western fans will also be buoyed by the part that the 1953 classic western shane has to play in things, considerably so as its importance narratively, orally and visually is mightily strong.

logan's run!

ah yes, well being ""adult"" is all well and good, but is logan thrilling? do we get pumped up wolverine action, blood brains, splatter and mucho muscle flexing and pained roars of anger? oh yes! action from the off is never far away, and wonderfully staged and choreographed it is. lots of memorable set-pieces, while also some cleverly constructed sequences such as xavier's mind seizures hold court and enthral. yet the kicker with all that is we are clued in to the emotional baggage that the side-burn sporting protag carries with him. with each fight we sense the bigger picture, even as we watch in awe the emergence of laura (ironic film noir name right there as it happens) - and her part in this very ""human"" story - the thrills and spills are propelled by a meaningful but battered heart.

tech credits are superb. acting honours go to jackman, who after giving 17 years of his life to the character, gives it his all and this multi faceted performance, in a perfect world, deserves oscar recognition. patrick stewart, also, is immense, playing the nonagenarian charles xavier with such class, gracefulness and storming emotion that one can only admire. film debutante dafne keen as laura is utterly engrossing, quite a debut indeed, whilst stephen merchant as albino mutant tracker caliban is effective to the point we hanker for more. although the villains fronted by boyd holbrook (rote henchman leader) and richard e. grant (smarmy scientist git) just about pass muster, there's nothing to damage the piece. cinematography (john mathieson) is ""a"" grade, the filters set on neo-noir, with the splendid film noir black and white version a fillip for the heart of noir lovers. all that is left is for the sound mix to boom and the director to steer with heart, brain and soul, without doubt both come up trumps.

one of 2017s best films, a genre splicer that ticks all the boxes of great film making. 10/10",high
5162,"_saw v_ was the worst of the series, and jigsaw is basically just _saw v_ again but worse. so, that's not exactly a glowing review. but that said: i was anticipating the worst for the ending, but the climax actually wound up being pretty satisfying, or at least, satisfying enough to give me the ""not good, but better than i was expecting"" feeling by the time the credits rolled.

_final rating:★★ - had some things that appeal to me, but a poor finished product._",low
5163,"the _transformers_ franchise has never been good. some say that the series is ""dumb fun with good action and cool explosions. to me, that could maybe be used to describe only the third movie. the first one is promising and has a certain ""child-like-wonder"" appeal. but neither of them are truly **good**. the second _transformers_ is meaningless garbage.

but when _age of extinction_ was released in 2014, the franchise hit new, abysmal lows. watching _transformers_ wasn't just a chore, it wasn't just boring, it was excruciating. it was so bad i felt nauseous. i was aggravated to the point of brimming with feelings of genuine anger. they say that if a film makes you feel something, that is a victory in itself. be it sadness, excitement, intrigue, joy, hope, nostalgia, hysteria, love, fear, warmth - whatever - i tend to agree with that statement. what i felt in _age of extinction_ was not a victory. it was a failure. a guinness book of world records level failure.

_transformers: the last knight_, is at least that bad again.

arguably worse.

i guess it didn't dedicate an entire character to being a justification for paedophilia, so it has that up on its predecessor.

_final rating:½ - so bad it’s offensive. i may never fully recover._",low
5165,"soulless garbage. must have been written in less then 15 minutes. how hard can it be to write an entertaining film about transforming alien robots? if you're michael bay, very hard indeed. and the jokes. wow. the jokes. i cringed after each and everyone. so many attempts at humour falling flat on their faces and smashing all of their teeth on the floor. the makers of this movie should be forced into exile.",low
5168,i'm guessing jason bateman wasn't available for this.,low
5170,"i am a great fan of agatha christie in general and hercule poirot in particular. when yet another remake of murder on the orient express came out i was somewhat hesitant. after all, the one with david suchet was perfect.

i guess i was right to be hesitant. this is another one of those remakes where you just wonder…why? as a movie it is not too bad but as a hercule poirot movie, the classical murder on the orient express no less, it is like buying a piece of prime filet of beef and discovering that the butcher gave you chicken drums when you open the package. edible but not at all what you paid for.

to me this movie was a blatant attempt to make an americanized version of hercule poirot. it was poorly done by a clueless scriptwriter and director and it was deeply disrespectful to the original character.

the movie starts of by introducing hercule as the pedantic, somewhat weird, person that he is but the attempt is just dumb and silly. apart from the scene more or less making hercule look like a jerk, these people apparently know him, why would they serve two eggs of different sizes in the first place? oh right, because the director thought the audience was too dumb to make that reflection.

then there are some things that hercule simply do not do. like walking on the roofs of train cars, climbing around and chasing criminals as if he was some action hero. he even gets shot and more or less just shrugs it off for christ sake!

and do not get me started on that grotesque moustache! as i said, an americanized version of hercule poirot. unfortunately bigger is not always better.

i can go on for some time here so let’s move on.

technically the movie is not that bad. the scenes, the decor, the acting in general etc. can even be said to be good. unfortunately, for me, this was constantly overshadowed by the brutal slaughtering of my beloved hercule poirot character.

part of this is probably due to the movie trying to focus so much on hercule that most of the other actors almost feel like … props, even though they themselves are doing quite a good job of their roles. one reviewer wrote that “the actors seem to have been invited, not to play characters, but to watch kenneth branagh act.” and there seems to be some truth in that.

the movie ends with a hint of further moves. personally, i hope there will not be a continuation of this train wreck (pun intended).",low
5172,"beginning with kenneth branagh's second decade as a filmmaker, i suggest he became an industry workhorse. he acted in many films and directed several, all with varying results in quality. most pointedly, few felt like they were personal projects for 15 years.  for example, his direction of **thor** is at the pleasure of kevin feige, the head of marvel films. i argue that **murder on the orient express is personal**. i believe that the ""shakespeare"" guy believed he could create the ""agatha christie"" equivalent of the marvel universe. as of this writing, he has returned a second film, **death on the nile**.  there are at least 30 more hercule poirot novels remaining for potential sequels.  likely, we won't see a third unless the second proves to be successful.

_orient express_ received a lukewarm reception - a tepid selection of both audience and critics who find the film neither superior or horrible.  but i am committed.  i find this classic story delivered through modern technology is beautiful, fun and entertaining. it remains quaint and intimate even as computer generated matte paintings create the stunning atmospheric vistas.  i even find the film quite open to repeated viewings.

the beautiful color and imagery is supported by a score by branagh's friend and musical voice, patrick doyle. the two feed off each other - doyle's assertive and aggressive compositions uniquely mimic branagh's earnest storytelling.  in other words, it is rarely quiet.

starting with **much ado about nothing**, branagh does a lot of stunt casting. this time may just take the cake.  every performer is an a-player and each is given at least one scene to chew a bit of the scenery. make no mistake about it, this story is a tour de force for the role of hercule poirot. branagh's performance of the belgian super-sleuth is quite fun, beginning on one of the greatest character introductions in the decade.

if critical and box office is a good reflection, its a fifty fifty shot whether you will enjoy branagh's **murder on the orient express**.  to be fair, most of the negative reviews i see are written by someone who is comparing this film to the 1974 star-studded telling.  those would rather you look up that version (where you will likely not know many of that _star studded_ cast)",high
5176,"on this movie i have to get a couple of things out of the way straight away.

first, the movie title and the blurb is hyperbole that has little to do with actual events in the movie. this is not some great war but just some silly little three way skirmish between some apes and two human factions.

second, the story for this movie is clearly written by someone who has an agenda and that agenda includes preaching how bad the white man is.
not surprisingly the result is bland, boring, frustrating and not very entertaining. 

i thought dawn of the planet of the apes was mildly entertaining. mostly due to the special effects. i thought rise of the planet of the apes was okay. again due to the special effects and because it had a fair amount of action. war for the planet of the apes do have decent special effects but nothing else. add the obvious political agenda and the movie goes straight into a nose dive.

the humans in the movie are stereotypical bad people and the apes are victims whether they are actually good apes or just asshole apes. there’s some decent action in the beginning and some at the end. in between we are “treated” to a slew of emotional scenes (or at least i suppose that’s what they were supposed to be) were ceasars grief and the evil of man are force fed down our throats.

not surprisingly the movie ends, which it of course do not do until all humans in sight are killed off for no good reason, with the apes finding their little part of heaven all shown in warm and rosy colors. close curtain…thank good!

i was not expecting much from this movie but this was a typical hollywood-with-an-agenda-movie. that is, not a good movie as far as i am concerned.",low
5180,"i could make the joke about this film's title but i don't want to beat a dead horse.

i had wanted to see this film since it was released in cinemas, but not because i thought it would be good, rather because i live for garbage like this. i saw the trailer and saw just filth, just absolute cinema excrement. well, what did i receive?

i received a rather played out the first half with one of the slowest pacings i've seen this year. i'm a fan of films taking their time and carefully detailing everything, but those are films with a sense of purpose. this is not one of those films. it's a redbox on a bad movie night, or a film your girlfriend wants you to watch with her. neither situations are true for me, but i'm sure it's happened to someone before. it's a slow first half that just has this lackluster eruption becoming a parody of itself. the last fifteen minutes of this film become a ridiculous set of scenes of 2017.

if you're someone who has seen the trailer then you know what is going to happen. it practically lays out its entire structure hoping maybe you'll see it one late night. i saw it and got about what i expected.

rosario dawson plays as this blogger journalist type who has a beautiful family, the catch is that it was once katherin hegel's and she's not over the divorce. she begins to find ways to slowly destroy dawson's life hoping to win the love of her husband. you see that sound like it could be ok, but the writing and execution of the plot is just so convoluted and unbelievable that it just becomes a parody. i mean it isn't a slow build up at all, we are just shown that hegel is crazy playing all of its cards in the first fifteen minutes. it's just screaming to you saying ""you know what you got yourself into, enjoy the last hour and fifteen minutes,"".

3/10",low
5181,"if you have ever even so much as heard of lifetime existing, then you know every single beat of _unforgettable_ from beginning to end. what it does, it does quite well (and further proves the point i made about katherine heigl finding her place in sociopathy when i wrote my _home sweet hell_ review), but it doesn't have a single new thing on offer.

_final rating:★★ - had some things that appeal to me, but a poor finished product._",low
5182,"**unfortunately-forgettable film!**

directional debut for a producer. i think she did well. but the film had a major issue. the film was decent with nice performances and production quality. though it came at a wrong era. came in too late, at least two decades late. if you had watched a decent number of films in your life, probably you have already seen plenty of similar film. and most of those would have come from the late last century. as what the title says, it was totally opposite of meaning that unfortunately a forgettable film. all the above, they have kept open ending, hinting a sequel could come. i already feel that is a bad idea!

since it was very familiar, easy to predict the scenes and dialogues. particularly the climax was a let down. i expected something better than usual. the clues, twist, all were ordinary. though the actors were decent. that does not mean it is worth watching for them. definitely won't work, unless you are a big fan of anyone of them. something for sure that it looks like they ran out of the ideas. why would someone want to make the same old film with a new cast. why not call it a remake or a reboot! anyway, don't think it is worth a watch, unless you haven't seen many films in your life or born yesterday.

_4/10_",low
5223,"<em>'thor: ragnarok'</em> continues the upward direction of the <em>'thor'</em> films.

i had a blast with this. i thoroughly enjoyed seeing the story unfold, the score is terrific, the new and old cast members are great and there's a lot of amusement in there too. it's superb, it's my third favourite mcu film at this stage.

don't get me wrong, i like the 2011 original but that's turned out to be the weakest of the three. i found <em>'thor: the dark world'</em> to be a fairly major improvement on that, this 2017 is narrowly better than that aforementioned 2013 release. bring on <em>'thor: love and thunder'</em>!

chris hemsworth is quality in the lead role, i found him super enjoyable in this second sequel. big fan of his new hairstyle, by the way. this is also the most i liked tom hiddleston in an mcu film. jeff goldblum, cate blanchett and, particularly, tessa thompson are fab additions. shoutout to (director, as well!) taika waititi also, he made me laugh a fair few times as korg.

great film, oh and i love the nod to a certain 1971 quaker oats company-induced film... nicely done.",high
5226,"_american made_ is a peculiar film, but a very enjoyable one. it takes a playful, satirical look at the origins of the notorious 'iran-contra' affair, through the eyes of pilot barry seal. along the ways we get thrills, laughs, astonishing (true-life) twists and turns and some vivid characters.

even if you followed the public iran-contra scandal, you may be unfamiliar with the story of seal, who started running guns for the cia years before the familiar public scandal erupted. american made is a fast, breezy, amoral look at the ins and outs of a covert operation made to go wrong. there's no judgment here; in fact, we come to like seal's crazy make-it-up-as-you-go-along approach to flying, to crime and to life in general.

tom cruise is perfectly cast as the cocky, reckless pilot. i've done a fair bit of flying, and i've met one or two hot-shots like (in a lesser degree) the one cruise portrays. cruise has lately been playing parts that are much too young for him (e.g. _jack reacher: never go back_), but his age works well in this case. in a way, seal is a guy fighting to stay young.

if there's one there's one thing to regret about _american made_ it's that it carefully avoids most of the political backdrop. we're told that the sandinistas were evil russian-backed communists, which is undoubtedly what the cia would have said at the time. (hindsight is more ambiguous.) we're shown, just barely, how the reagan administration evolved a cockeyed criminal scheme for its own ends, but the film ends where the public iran-contra scandal began. ollie north is a presence in only one or two shots.

nonetheless, barry seal's personal story arc is wrapped up perfectly. the ending doesn't let anyone off the hook, but it does leave us questioning our own moral position, as we're inevitably drawn to like and admire barry seal, in spite of his total lack of scruples or judgment.

doug liman directs with his usual flair. he's had a remarkably varied career, ranging from spy-action (_bourne identity_) to superheroes (_jumper_) to political drama (_fair game_) to straight-up sci-fi (_edge of tomorrow_). _american made_ stands up very well in that catalog. it's a fun film, a thoughtful film, an unusual film... though its darker side may not appeal to every taste.",high
5227,"it's always kind of fun seeing tom cruise in a role where he has to actually act and not just do the action phone-in-emotion thing...because he is capable of being a decent actor and not just a pretty-boy action star.

and, in this he was a decent actor.

and the result is a very enjoyable and fun period piece that has just as much drama as it does action and comedy, which allows the time dedication to slip buy unnoticed.

it's actually pretty rare that you can watch a film this long and not really feel like you're watching a long film.

the only real downside is that the end hits you a bit abruptly, a bit too abruptly for the build up...but who cares when the build-up is this enjoyable.",high
5228,"i didn't like _girls trip_. no great shock there, it's an american comedy in much the same vein as a great number of american comedies that have come before it i didn't like. a lot of other people did like it. that's fine. different strokes for different folks. all that jazz. i totally understand it. what i don't understand is the vast number of people who have said _""this one's different. this movie is gonna appeal to the people who don't normally go in for this sort of thing. it breaks all the conventions and even independent film & oscar film fans will love it""_. like... no... when you follow up your piss-joke with the exact same piss-joke just seconds later... it's like... this is exactly the same as every other movie i hate.

_final rating:★ - of no value. avoid at all costs._",low
5235,"loud, trashy, sweet and weird, the mighty morphin power rangers reboot “power rangers” is not merely an ideal film for rambunctious and undemanding 12-year olds, it actually sees the world through their eyes.

in theory, the heroes are high school students. but they’re actually a disney channel-styled fantasy of the splendors that await kids when they finally become full-fledged teenagers and can do whatever they want. these heroes are misfits. they gather in detention in their high school, a scenario that promises to turn into “the mighty morphin breakfast club rangers.” lo and behold, that’s what you get: a mix of shenanigans, heart-to-heart talks and widescreen punch-outs between monster battles.

review from roger ebert.",high
5238,"**the power of cadbury gems!**

it was one of those films known that it would fail even before being made. i've rated the rebooted 'fantastic four' better than this. i am not a 'power rangers' fan, but i was looking forward to it. expected to be a decent, not this low. the major issue with the film was the story. what the heck! all the superhero films have this same platform. that's really boring. even that's how the real 'power rangers' is, does not matter, it should have been re-wrote completely. just like they had updated the costumes from cloths to metal armours.

as usual, the actors are not to be blamed. those young guys did good. direction, not bad too. the graphic, nothing new or that impressive. if we observe closely all the cgi shot, they do not look fine, especially if you know all this stuff like an animator or something. the villain was weak. but the entire film was like just an introduction. they had held up everything till the last quarters to bring all together and make a massive stand off between the good and the bad.

maybe it could work for kids. those who liked marvel and dc superhero films would only find it a trash. the best thing about the film is, it is watchable, despite everything are familiar and predictable. i'm not in favour of a sequel, but surely they will make one. and that's result would decide the franchise's future, which i think has a slim chance against those superhero films that already bagged the large sum of fans to its pocket. as i said, the remaining one are children, who are upcoming generation. so if the filmmakers target them, even the adults would sit quiet and watch without whining.

_4/10_",low
5254,"baby (elgort) is a quiet, unassuming young man, who looks after his ailing foster parent, listens to music both out of his love for it, and a need to block out the tinnitus ringing in his ears that he was afflicted with due to a tragic accident that also took his parents. baby also has a specific skill set, one that has him doing the bidding of a crime boss doc (spacey) to pay back a debt.

baby's skill is driving, but not just any driving, the kind of skilled driving that gets doc's crew of armed bandits away from the scene of bank hold-ups very fast, and then leads crews of police cars on a merry dance, and dodges every trick up their sleeves with a few of his own set to a killer music soundtrack from his ipod.

with light at the end of the tunnel, baby has a chance encounter with cute diner waitress debora (james), where the chemistry between the two is instant. he sees this as his road to freedom, and a bright new future. this new future is brought to rude halt by doc who was not yet done with baby.

this film is all about the music soundtrack, and what a soundtrack indeed. with songs like nowhere to run by martha and the vandellas, to the quintessential driving song radar love by golden earring, you'll be tapping your toes as well as being thrilled by the action, plus the classy, and slick driving by baby.

the performances in this film are all stand out, relative new comers elgort, james, and gonzález do really well in their respective roles. the scene stealing performances by spacey, hamm, and foxx are great in support to elgort. while spacey, as he generally does, plays cool, and mellow. hamm, and foxx do it with charm, and evil menace as buddy, and bats. jon bernthal's cameo as the suspicious, and hot-headed griff was also a delight to watch.

written, and directed by cult favourite edgar wright, this film has all the elements that make this a great addition to the tradition of other heist films like drive, the getaway, and heat.

baby driver is probably the most fun i had at the cinemas this year along with wonder woman, and spider-man homecoming.",high
5257,"baby driver stands out as a brilliant, unique, and fun piece of cinema art with its outstanding writing, perfect cast, exceptional stunt work, bold colors, and so much more. this movie gets everything right. however, this film's most impressive feature lies in its soundtrack. the music is a character of the movie interacting with other characters - its beats matching and punctuating what is happening on screen throughout the entire film. one of my favorite heist movies and probably one of my favorite movies of all time.",high
5258,"**overall : everything about baby driver is fresh, fun, and unique. don't let this one get away!**

baby driver stands out as a brilliant, unique, and fun piece of cinema art with its outstanding writing, perfect cast, exceptional stunt work, bold colors, and so much more. this movie gets everything right. however, this film's most impressive feature lies in its soundtrack. the music is a character of the movie interacting with other characters - its beats matching and punctuating what is happening on screen throughout the entire film. one of my favorite heist movies and probably one of my favorite movies of all time.",high
5259,"there is an episode of tales from the crypt wherein the protagonist’s conscience sounds just like – and is played by – sam kinison. oh! oh! aaaugh! this is only slightly worse than tinnitus but still slightly better than baby driver, the story of an idiot savant who is the best getaway driver in atlanta – with the caveat that he needs to listen to his ipod; when at the mercy of fm radio, baby (ansel elgort) becomes tyrone from snatch. baby suffers from tinnitus. to drown out the ringing in his ears, baby constantly listens to music – which is like putting out a fire with gasoline – even when fleeing at full speed from the scene of a crime. right. children, do not play loud music on your headphones while driving a vehicle.

baby is in love with a waitress named deborah. the coffee shop where deborah works must be worse than the carson mccullers’s sad café; how else can you explain her piss-poor decision-making? deborah has no problem running away with a guy who 1) she practically just met, 2) like cameron diaz's brother in there's something about mary, loses his sh*t when someone touches his precious earphones, 3) associates freely with criminals, 4) is himself a criminal, 5) has “every clean and dirty cop” after him, and 6) constantly puts her in danger (deborah is willing to wait five years for baby to get out of jail. she had to make a living somehow during that time, so i guess the cafeteria wasn't so bad after all).

maybe it's true that women like “bad boys” – which baby most certainly is, regardless of how innocent the movie wants us to think he is. during the third act baby is directly or indirectly responsible for four deaths; almost five when he uses deborah as bait to distract the psychopathic buddy (jon hamm). and speaking of psychos, bats (jamie foxx) is basically motherf---er jones from horrible bosses on crack – in spite of which he is the only sensible character in the film (“the driver must be the eyes and ears, not just the eyes”).

on the plus side, there is an admittedly funny moment concerning a discussion about the difference between a halloween (as in the horror film) mask and a mike myers mask. moreover, kevin spacey is a delight as always, and to no one’s surprise he and foxx have the best lines – or at least the best delivery.",low
5260,"i guess this is one of those movies that you're not supposed to like because meh politics and meh hipster and meh outrage culture and... reasons that really make no sense and are ultimately meaningless.

at least that is what a good bulk of the negative reviews say.

so let's not talk about meh politics and focus on the movie instead.

my wife put it on, and i have never heard of it. i, legit, thought she was talking about simon and garfunkel when she started talking about it. ""do you want to watch baby driver?""

honest mistake, she's part guatemalan, her english isn't all that great... watch, listen to, whatever.

anyway, i was in the kitchen cooking and i missed the first part... but i was digging the music.

in fact i was digging the music so much that i started going to and from the living room, just because the soundtrack was that compelling. a great mixture of old and new.

and then it was kevin spacey and jamie foxx, and you really want to see that. both of them can turn a theatrical trick or two when they want to, and it always kind of seems that spacey always wants to... and the soundtrack.

and then when i finished cooking and we started eating in front of the television, i really started noticing the ringing when the music wasn't playing. and that was irritating... until my wife filled me in on the back story and then it was an ""ah-ha,"" moment of coolness. it was fairly compelling that they did that, and ran with it like they did.

and, i can't be absolutely positive, but it didn't like it had that much cgi, and that is a plus. it looked incredibly real, like the good old days, so even through you are watching a movie filtered through an ipod... it had an authentic action movie feel to it.

over all, it was incredibly enjoyable fun... and that is why you watch movies like this, right? because they are fun?

so, 10 stars, mission accomplished, it was one heck of a fun film.",high
5261,"like music beats? like movies? you've never seen the two combined like this before. on the surface, this is an action-heist movie. but look again...with your ears. the visual beats are in time with the soundtrack. it's utterly mesmerising.",high
5265,"“guardian’s are back to save the galaxy once again”

i felt in this movie the true star was baby groot the part that how he understands and gives out his understandings in his own style which makes us laugh out loud. got to see a funny side in drax the before edition he was always angry this one he always laughs i like the part he keeps saying positive things and suddenly ends it with a negative touch. now to talk about gamora and quill love is in the air but she keeps denying it. quills line “we keep searching for something our whole life and we never realize that it has been with us the whole time”. always hated yondu but this movie made me change. did not get to see thanos, i know he is been kept for the big picture. rockets awesome one liners especially taserface made me burst out with laughter. an awesome family entertainer with action comedy and adventure. and not to forget mantis she was so freaking innocent. waiting patiently for the next part in this series loved this one. would recommend this movie for everyone. 
notable acting
chris pratt (peter quill/star-lord) famous for his acting in jurassic world
zoe saldana (gamora) famous for her acting in avatar and star trek into darkness
dave bautista (drax) he is a famous wwe wrestler and also acted in movies like 007 spectre
vin diesel (baby groot) famous for his movie series fast and furious
bradley cooper (rocket) famous for his movies like silver linings playbook and the hangover
michael rooker (yondu) 
karen gillan (nebula) famous for the movie oculus and the tv series doctor who
pom klementieff (mantis) 
kurt russell (ego) famous for his movies the hateful eight, the thing and death proof

my rating 10/10",high
5267,"i hate this movie. i'm fine and quite proud to be in the minority with this one. i can't stand how guardians of the galaxy vol 2 thinks family dynamic is just two people bickering about how much daddy didn't love them as kids. it makes no sense to me why james gunn or marvel think that every scene needs to have multiple jokes thrown in no matter what the tone of the scene is supposed to be. drax's overused laugh was annoying. yes, i get it, baby groot is dumb. hahaha.... oh, now you're ugly shaming a character and playing it for jokes?

one note characters, a stupid plot of nothing interesting happening, and of course starlord's father, a celestial, is nothing more than an evil being setting out to destroy the universe. does marvel not realize that villains can have other kinds of motivation?

the only two good things about this movie are the soundtrack and the fact that the events have no effect on the overarching mcu plot. so next time i do a marvel marathon, i can skip over this trash.",low
5283,"well, the soundtrack rocked. it was wonderfully classic. wonderfully sentimental. wonderfully awesome again. and it was fun how music suddenly became their thing as a team.

baby groot was fun, funny, and adorable all at the same time...and it worked because he was also a lot more violent than the adult groot, which made it stand far and away from the overly saccharin nightmare that he could have been.

star lord unfortunately matured a bit. he wasn't anywhere near the...can i say d**che bag here? jerk is too strong of a word and you never really got the impression that he was really an idiot in the first one. in any case it was that annoying quality that made him such a great character in the first movie.

in the sequel peter has grown and some of the traits that made him so fun to watch are still there...just muted as he became more of an adult.

it works for the plot, and he is still a lot of fun to watch, but a part of the appeal was that he was sort of peter pan and it hurts wa6tching someone like that grow.

the only really weak point was mantis and only really because she was clearly going to join the team and clearly not doing much of anything.

as the whole, you have another departure away from the overly serious...or sometimes moderately serious cape flicks...which a refreshing getaway, so long as its understood that guardians and the like are departures from the norm and not a harbinger of batman & robin camp again.",high
5288,"great movie to watch with your mates and have a good old fashioned ""what the fuck!?"".

_final rating:★★ - had some things that appeal to me, but a poor finished product._",low
5297,"**when two different ancient arts meet.**

this is not some film. the project was decided when two leaders of the respective nation met a couple of years ago. more like it is china's move to mend the relationship with india. so except indian cast participation and a few indian locations, this is completely 'made in china' and for the chinese market. like always any chinese product, this is not a quality product. just an another 'the myth' from the same director.

team up between india and china is a rare thing in filmdom, so i was curious about that. it should have been a star studded cast, but from the chinese side, it does, not on the indian side. the worst screenplay award goes for mr. tong. literally, it is a retelling story of those great treasure hunt adventure films we had seen so far in our life. even jackie chan could not save it. his presence failed to do the usual magic. like his signature, action-comedy, nothing new to appreciate either his part or the film.

the story follows the famous chinese archaeologist jack, who teams up with his indian counterpart for a new quest. equipped with the modern technological tools, the crew heads for a frozen lake in the himalayas. it's the first and an important clue for the rest of the treasure hunt. but it was interrupted by a group of armed men and soon the tale flies to dubai, followed by western india, where it comes to end with lots of action and adventures.

> ❝'vastu shastra', the oldest book ever written about architectural design.❞

the opening scene sets in some thousand years ago. the graphics were very poor in that part. even computer games have much better cgi work. so i lost the interest in the film within the first sixty seconds. the stunt choreography was unbelievably terrible. i mean too much unrealistic, i felt it like i was watching some kind of commercial tollywood/rajamouli film. surely this film was not made under the art and the film-making value. it seems nobody was interested to participate or make a quality film. they made it to just to keep the promise made by the politicians, so it was wrapped up awfully.

i thought it was a bad combination of words for a title. kung fu and yoga. like the polar opposite, two different philosophies. one is violence and the other one is peace and healthy. though not bad how those two were utilised to tell the tale. this is a watchable film, but no good at all. might be the worst jackie chan film i've ever seen. promoting the unrealistic road projects in the film was a bad idea, and enough reason to flop in india.

there are many good actresses in india, but they have picked disha patani. she's a real beauty, but the performance was worse than the film's graphics. i could not stand for her dialogue deliverance. she just read them rather than expressing naturally as any actors do in the world. the end was really disappointing. an easy compromise. it's good for the real life, but not good for an entertainment film. those who are seeking treasure hunt film, just stay away from it. because it looks more like a parody than a distinct one. overall the film was overwhelmed by lots bad parts. so easily a skippable film of the year, which has a big name in it.

_02/10_",low
5300,"**not for humans!**

this is not for humans. a film made to entertain terrorists. there's no reason it to be called an anti-american film. but there's certain rules for everything, that's a fairy-tale always has to end 'happily ever after' and in a film about terrorism, all terrorists must die.

the biggest shock is it was made by a well known filmmaker for his some blockbusters. this is a limited cast and a day event film. i did not think the entire film was bad. only the end ruined everything. if it had a better conclusion, might have been as good as 'kajaki'.

the character looked unique, because you don't always have a highly skilled, intelligent soldier on the field. that's the best part, and then the most of the narration was simply empty, total drag or time wasting events. recommended to skip it without a second thought!

_1/10_",low
5302,"there are some shows that have a character for exposition. velma in scooby doo comes to mind, and it is their job to summarize the plot points that the viewer has missed.

this is a movie filled with velmas. everyone gives a little exposition, everyone has a lecture. and no one seems real because of it. the characters, good or bad, all sound scripted and monotoned.

it hurts to watch it.",low
5303,"~no spoilers~

this movie essentially starts right after the first one ends, right at the top-down view of new york city. dark humor abounds,
bullets rip through head and bodies, and wick is unstoppable.

this film should be held as the gold standard for action movies. there is very little camera shake during fights and reeves clearly has spent a lot of time preparing for this role. you can see nearly every take-down, every gunshot, and wick has to reload at inconvenient times in a realistic fashion which also adds to the hilarity of the following kills.

overall the acting performances were solid. reeves isn't known for having an extremely wide range, but his devotion to making this movie a kick-ass martial arts production is second to none. i felt the villain was a bit on the weak side though, but he did his role justice. ian mcshane's character remains the strongest especially combined with the last film.

the lighting is superb! there's a red-blue theme that is in nearly every nightclub and darkly lit areas and its absolutely lovely to look at. overall cinematography is very good.

definitely worth seeing!",high
5311,"ok, so it's not quite as good as the first movie but how often does that actually happen? mr wick is cool, again. the action is cool, again. the villains are cool, again. except for that silly little girl who doesn't speak of course. but again, the addiction to this movie lies in the multiple layers added to further build the world these characters inhabit. great stuff.",high
5314,"ok, my fiance loves these films (but she's worse than me when it comes to sex in movies, and i'll sit through some serious crap for it) so we went to go see it on valentines day.

and i am going to point out the problem, and i will do it by quoting the synopsis:

""anastasia must confront the anger and envy of the women who came before her.""

yeah, that takes all of about 5 minutes of time in the film. it's the plot of the movie...and it takes about 5 minutes total. the problem is solved really quickly, in the middle of the film, and never comes up again.

it's like an after thought....but it's the plot.

i've seen movies based on t and a in the past that have actually more plot focus than this.

but let's be honest, you are only watching it for the bdsm (which it is also light on) so i can't even give it 10 stars for that, and i am an easy grader when it comes to most movie reviews.",low
5318,"extraordinarily conventional. it will surely appeal to devotees of this sort of thing, because it's well acted and has some minor emotional impact, but with the exception of what essentially boils down to a gimmick, _gifted_ is just like a hundred other okay movies that deal with the same subject in the same way.

_final rating:★★ - had some things that appeal to me, but a poor finished product._",low
5322,"i have no idea why people are raving about this film, it's a bit crap, it's probably oldman weakest performance to date, and the cinematography is terrible. churchill with brian cox in the lead role is a far superior film on the subject.",low
5325,"i saw this film at tiff on the big screen and loved it. there's not a weak member of the cast. i really loved the way the photography reflected the sense of gloom that would have been felt by the people facing a new war. big thumbs up, gives a strong sense of the time and place.",high
5326,gary oldman was superb as churchill.,high
5332,"full disclosure: i saw this while i was working my ass off in a foodtruck at an outdoor cinema. i missed whole chunks of it, and it certainly didn't have my full focus. i'll give it a proper chance at a later date, and alongside that, another review. however, of what i saw, _battle of the sexes_ seemed to be little more than a collection of stereotypes played for comedy in a movie that not only wasn't funny, but probably shouldn't have even tried to be.

_final rating:★★ - definitely not for me, but i sort of get the appeal._",low
